rid	currentIndex	data_0	data_1	data_2	data_3	data_4	expType	experimentName	realLarger	realPercentage	repeatIndex	selectedIndices_0	selectedIndices_1	selectedPercentage	sessionId	trial	trialEndTime	trialStartTime	uniqueTrialId	vis
1	9	15.8129659199499	72.9285090463236	37.2069786351762	19.3163269665092	56.180385267362	main	cmtest	C	0.425	1	0	2	50	-LvBo_ZuTd3kZHTZjYx0	moving9	1575394607098	1575394570695	9	moving
2	4	49.0144959631118	8.57753679354457	63.8214366044849	49.6992086060345	11.9294336996973	main	cmtest	A	0.175	1	1	0	30	-LvBo_ZuTd3kZHTZjYx0	rotation4	1575394616359	1575394607120	4	rotation
3	15	39.1617376036753	32.8177746850997	54.0161897981728	68.8035423401743	18.9645187696442	main	cmtest	C	0.725	1	0	2	50	-LvBo_ZuTd3kZHTZjYx0	rotation15	1575394630852	1575394616378	15	rotation
4	6	81.4308847533539	68.3743562549353	98.665779363364	16.8642861768603	18.8029479701072	main	cmtest	B	0.275	1	4	1	20	-LvBo_ZuTd3kZHTZjYx0	rotation6	1575394636820	1575394630871	6	rotation
5	5	62.2385144699365	43.2420523371547	12.2360039540395	2.7531008896589	59.3528500990942	main	cmtest	C	0.225	1	3	2	20	-LvBo_ZuTd3kZHTZjYx0	moving5	1575394653269	1575394636852	5	moving
6	18	53.1058046035469	46.2701585143805	63.695045770146	40.4863887000829	30.8335199952126	main	cmtest	B	0.875	1	3	1	100	-LvBo_ZuTd3kZHTZjYx0	moving18	1575394662316	1575394653302	18	moving
7	11	31.127199988629	8.58497268054634	16.3417799940302	83.2133897580206	44.7683473583311	main	cmtest	A	0.525	1	2	0	50	-LvBo_ZuTd3kZHTZjYx0	rotation11	1575394666339	1575394662336	11	rotation
8	9	72.9285090463236	19.3163269665092	15.8129659199499	56.180385267362	37.2069786351762	main	cmtest	E	0.425	1	2	4	45	-LvBo_ZuTd3kZHTZjYx0	rotation9	1575394677179	1575394666367	9	rotation
9	20	96.4918015990406	38.1625866284594	5.75510876937003	5.61123105013578	72.4285129690543	main	cmtest	C	0.975	1	3	2	90	-LvBo_ZuTd3kZHTZjYx0	moving20	1575394686910	1575394677202	20	moving
10	8	42.7727237110958	69.1347193311561	95.5788051011041	95.4173318808898	25.9255197491835	main	cmtest	B	0.375	1	4	1	40	-LvBo_ZuTd3kZHTZjYx0	rotation8	1575394693812	1575394686930	8	rotation
11	6	81.4308847533539	16.8642861768603	98.665779363364	68.3743562549353	18.8029479701072	main	cmtest	D	0.275	1	4	3	45	-LvBo_ZuTd3kZHTZjYx0	moving6	1575394706636	1575394698605	6	moving
12	17	60.8629639726132	39.0190941980109	22.6906576793488	13.2386145181954	18.7197925854627	main	cmtest	C	0.825	1	4	2	60	-LvBo_ZuTd3kZHTZjYx0	rotation17	1575394717317	1575394706657	17	rotation
13	15	18.9645187696442	32.8177746850997	54.0161897981728	39.1617376036753	68.8035423401743	main	cmtest	C	0.725	1	3	2	90	-LvBo_ZuTd3kZHTZjYx0	moving15	1575394724788	1575394717340	15	moving
14	7	13.7696740797387	88.1584620336071	16.5643460350111	4.47514407591508	63.1675882032141	main	cmtest	A	0.325	1	3	0	50	-LvBo_ZuTd3kZHTZjYx0	rotation7	1575394728811	1575394724809	7	rotation
15	3	77.90200591553	64.8942107334733	8.11177634168416	13.9991177245975	16.3028917973861	main	cmtest	B	0.125	1	2	1	26	-LvBo_ZuTd3kZHTZjYx0	moving3	1575394740076	1575394728842	3	moving
16	8	95.4173318808898	25.9255197491835	42.7727237110958	95.5788051011041	69.1347193311561	main	cmtest	E	0.375	1	1	4	40	-LvBo_ZuTd3kZHTZjYx0	moving8	1575394755614	1575394740100	8	moving
17	5	59.3528500990942	2.7531008896589	43.2420523371547	62.2385144699365	12.2360039540395	main	cmtest	E	0.225	1	1	4	30	-LvBo_ZuTd3kZHTZjYx0	rotation5	1575394761133	1575394755633	5	rotation
18	16	14.257651520893	35.0780632346869	1.89526059048277	1.46882695762414	78.7797485711053	main	cmtest	C	0.775	1	3	2	90	-LvBo_ZuTd3kZHTZjYx0	rotation16	1575394767788	1575394761162	16	rotation
19	16	35.0780632346869	1.89526059048277	14.257651520893	78.7797485711053	1.46882695762414	main	cmtest	B	0.775	1	4	1	85	-LvBo_ZuTd3kZHTZjYx0	moving16	1575394778526	1575394767809	16	moving
20	12	85.7616871595383	77.9650794574991	49.9972452572177	0.0393315451219678	28.7484160229002	main	cmtest	C	0.575	1	4	2	90	-LvBo_ZuTd3kZHTZjYx0	moving12	1575394790013	1575394778553	12	moving
21	12	0.0393315451219678	49.9972452572177	77.9650794574991	85.7616871595383	28.7484160229002	main	cmtest	B	0.575	1	4	1	70	-LvBo_ZuTd3kZHTZjYx0	rotation12	1575394799893	1575394791187	12	rotation
22	7	63.1675882032141	13.7696740797387	4.47514407591508	16.5643460350111	88.1584620336071	main	cmtest	B	0.325	1	2	1	60	-LvBo_ZuTd3kZHTZjYx0	moving7	1575394805715	1575394799915	7	moving
23	10	8.6432457783149	45.7821950083598	18.1963069017156	37.7604408888146	2.49180083628744	main	cmtest	C	0.475	1	0	2	60	-LvBo_ZuTd3kZHTZjYx0	moving10	1575394812220	1575394805739	10	moving
