rid	anchor	anchorIndex	answer	correct	dataAnchor_0	dataAnchor_1	dataAnchor_2	dataAnchor_3	dataAnchor_4	dataLeft	dataRight	direction	experimentName	index	localIndex	sessionId	trialEndTime	trialStartTime	compare
1	20	0	L	true	20	30	40	50	60	20	10	up	moving-jnd-pilot1	0	0	-LvGky0NyaZ4yxT1Bea6	1575477308903	1575477303942	10
2	20	0	R	true	20	30	40	50	60	10.3	20	up	moving-jnd-pilot1	1	1	-LvGky0NyaZ4yxT1Bea6	1575477315094	1575477303942	10.3
3	20	0	L	true	20	30	40	50	60	20	10	up	moving-jnd-pilot1	0	0	-LvGl-7zbUWltBQFjrs8	1575477317542	1575477313580	10
4	20	0	L	true	20	30	40	50	60	20	10.600000000000001	up	moving-jnd-pilot1	2	2	-LvGky0NyaZ4yxT1Bea6	1575477317254	1575477303942	10.600000000000001
5	20	0	R	true	20	30	40	50	60	10.3	20	up	moving-jnd-pilot1	1	1	-LvGl-7zbUWltBQFjrs8	1575477320493	1575477313580	10.3
6	20	0	L	true	20	30	40	50	60	20	10.600000000000001	up	moving-jnd-pilot1	2	2	-LvGl-7zbUWltBQFjrs8	1575477322357	1575477313580	10.600000000000001
7	20	0	R	true	20	30	40	50	60	10.900000000000002	20	up	moving-jnd-pilot1	3	3	-LvGl-7zbUWltBQFjrs8	1575477324637	1575477313580	10.900000000000002
8	20	0	R	true	20	30	40	50	60	10.900000000000002	20	up	moving-jnd-pilot1	3	3	-LvGky0NyaZ4yxT1Bea6	1575477324093	1575477303942	10.900000000000002
9	20	0	R	true	20	30	40	50	60	11.200000000000003	20	up	moving-jnd-pilot1	4	4	-LvGky0NyaZ4yxT1Bea6	1575477325601	1575477303942	11.200000000000003
10	20	0	L	true	20	30	40	50	60	20	11.200000000000003	up	moving-jnd-pilot1	4	4	-LvGl-7zbUWltBQFjrs8	1575477326725	1575477313580	11.200000000000003
11	20	0	R	true	20	30	40	50	60	11.500000000000004	20	up	moving-jnd-pilot1	5	5	-LvGky0NyaZ4yxT1Bea6	1575477326994	1575477303942	11.500000000000004
12	20	0	R	true	20	30	40	50	60	11.500000000000004	20	up	moving-jnd-pilot1	5	5	-LvGl-7zbUWltBQFjrs8	1575477328709	1575477313580	11.500000000000004
13	20	0	L	true	20	30	40	50	60	20	11.800000000000004	up	moving-jnd-pilot1	6	6	-LvGky0NyaZ4yxT1Bea6	1575477328815	1575477303942	11.800000000000004
14	20	0	L	true	20	30	40	50	60	20	11.800000000000004	up	moving-jnd-pilot1	6	6	-LvGl-7zbUWltBQFjrs8	1575477330597	1575477313580	11.800000000000004
15	20	0	R	true	20	30	40	50	60	12.100000000000005	20	up	moving-jnd-pilot1	7	7	-LvGky0NyaZ4yxT1Bea6	1575477330809	1575477303942	12.100000000000005
16	20	0	L	true	20	30	40	50	60	20	12.100000000000005	up	moving-jnd-pilot1	7	7	-LvGl-7zbUWltBQFjrs8	1575477332477	1575477313580	12.100000000000005
17	20	0	R	true	20	30	40	50	60	12.400000000000006	20	up	moving-jnd-pilot1	8	8	-LvGky0NyaZ4yxT1Bea6	1575477332918	1575477303942	12.400000000000006
18	20	0	L	true	20	30	40	50	60	20	12.400000000000006	up	moving-jnd-pilot1	8	8	-LvGl-7zbUWltBQFjrs8	1575477334725	1575477313580	12.400000000000006
19	20	0	R	true	20	30	40	50	60	12.700000000000006	20	up	moving-jnd-pilot1	9	9	-LvGky0NyaZ4yxT1Bea6	1575477335516	1575477303942	12.700000000000006
20	20	0	L	true	20	30	40	50	60	20	12.700000000000006	up	moving-jnd-pilot1	9	9	-LvGl-7zbUWltBQFjrs8	1575477336758	1575477313580	12.700000000000006
21	20	0	R	true	20	30	40	50	60	13.000000000000007	20	up	moving-jnd-pilot1	10	10	-LvGky0NyaZ4yxT1Bea6	1575477336847	1575477303942	13.000000000000007
22	20	0	R	true	20	30	40	50	60	13.000000000000007	20	up	moving-jnd-pilot1	10	10	-LvGl-7zbUWltBQFjrs8	1575477338656	1575477313580	13.000000000000007
23	20	0	L	true	20	30	40	50	60	20	13.300000000000008	up	moving-jnd-pilot1	11	11	-LvGky0NyaZ4yxT1Bea6	1575477338619	1575477303942	13.300000000000008
24	20	0	R	true	20	30	40	50	60	13.300000000000008	20	up	moving-jnd-pilot1	11	11	-LvGl-7zbUWltBQFjrs8	1575477340429	1575477313580	13.300000000000008
25	20	0	L	true	20	30	40	50	60	20	10	up	moving-jnd-pilot1	0	0	-LvGl32WAAch5JT0ElYv	1575477341321	1575477330285	10
26	20	0	R	true	20	30	40	50	60	13.600000000000009	20	up	moving-jnd-pilot1	12	12	-LvGky0NyaZ4yxT1Bea6	1575477340971	1575477303942	13.600000000000009
27	20	0	L	true	20	30	40	50	60	20	13.600000000000009	up	moving-jnd-pilot1	12	12	-LvGl-7zbUWltBQFjrs8	1575477342191	1575477313580	13.600000000000009
28	20	0	R	true	20	30	40	50	60	13.90000000000001	20	up	moving-jnd-pilot1	13	13	-LvGl-7zbUWltBQFjrs8	1575477344493	1575477313580	13.90000000000001
29	20	0	R	true	20	30	40	50	60	13.90000000000001	20	up	moving-jnd-pilot1	13	13	-LvGky0NyaZ4yxT1Bea6	1575477344917	1575477303942	13.90000000000001
30	20	0	L	true	20	30	40	50	60	20	14.20000000000001	up	moving-jnd-pilot1	14	14	-LvGl-7zbUWltBQFjrs8	1575477346165	1575477313580	14.20000000000001
31	20	0	L	true	20	30	40	50	60	20	14.50000000000001	up	moving-jnd-pilot1	15	15	-LvGl-7zbUWltBQFjrs8	1575477348327	1575477313580	14.50000000000001
32	20	0	L	true	20	30	40	50	60	20	14.20000000000001	up	moving-jnd-pilot1	14	14	-LvGky0NyaZ4yxT1Bea6	1575477347586	1575477303942	14.20000000000001
